Date;Open;High;Low;Close; Volume 
07/09/1984;0.100763;0.101999;0.0995464;0.100763; $9.767.604.183.885,00 
10/09/1984;0.100763;0.101071;0.0983401;0.100165; $75.812.543.283.746,00 
11/09/1984;0.101071;0.103814;0.101071;0.101999; $1.787.704.770.312,00 
12/09/1984;0.101999;0.102597;0.0989283;0.0989283; $15.617.125.819.595,00 
13/09/1984;0.104432;0.10473;0.104432;0.104432; $24.323.095.939.553,00 
14/09/1984;0.10473;0.108369;0.10473;0.105937; $28.961.190.399.691,00 
17/09/1984;0.108689;0.110204;0.108689;0.108689; $22.612.379.756.803,00 
18/09/1984;0.108689;0.109586;0.10473;0.10473; $11.415.246.964.295,00 
19/09/1984;0.10473;0.105937;0.102597;0.102597; $12.469.001.065.742,00 
20/09/1984;0.102896;0.103814;0.102896;0.102896; $77.625.794.268.526,00 
21/09/1984;0.102896;0.105937;0.100763;0.101999; $11.712.183.730.749,00 
24/09/1984;0.101999;0.102597;0.101071;0.101071; $92.683.210.947.029,00 
25/09/1984;0.100763;0.100763;0.0989283;0.0989283; $19.566.741.457.959,00 
26/09/1984;0.0989283;0.103494;0.0977319;0.0977319; $13.018.216.797.018,00 
27/09/1984;0.0977319;0.0983401;0.0977319;0.0977319; $1.242.695.560.809,00 
28/09/1984;0.0977319;0.0977319;0.093465;0.0952893; $2.738.187.058.522,00 
01/10/1984;0.0950002;0.0950002;0.0931559;0.0931559; $11.470.429.069.686,00 
02/10/1984;0.093764;0.0971138;0.093764;0.093764; $13.872.251.564.246,00 
03/10/1984;0.0952893;0.0968047;0.0952893;0.0952893; $14.127.156.013.005,00 
04/10/1984;0.0964857;0.0971138;0.0964857;0.0964857; $14.721.041.983.735,00 
05/10/1984;0.0964857;0.0964857;0.093764;0.0943821; $1.144.678.135.845,00 
08/10/1984;0.0943821;0.0950002;0.0943821;0.0943821; $55.105.377.064.192,00 
09/10/1984;0.0943821;0.0950002;0.093465;0.093465; $14.694.761.967.822,00 
10/10/1984;0.093465;0.093465;0.0907133;0.0907133; $42.801.911.983.204,00 
11/10/1984;0.0907133;0.0931559;0.0901151;0.0901151; $21.440.374.661.354,00 
12/10/1984;0.0901151;0.0907133;0.0855291;0.0861472; $31.181.700.434.207,00 
